"X1.3","X2.3","X3.3","X4.3","X5.3","X6.3","X7.3","X8.3","X9.3","X10.3"
0.141261314845449,0.639913756249884,0,0.04485046746343,0.173974461441237,0,0,0,0,0
0,0.283416528008874,0.522937960541954,0,0.193645511449172,0,0,0,0,0
0,0.0650530365066367,0,0.117575365161585,0,0.817371598331778,0,0,0,0
0.00405517353246166,0.129194932191705,0,0.0403982180408877,0,0.826351676234945,0,0,0,0
0.374077146412277,0.432185815014517,0,0.188303608461219,0,0.00543343011198673,0,0,0,0
0.173133987674047,0.826866012325953,0,0,0,0,0,0,0,0
0,0.384136858475894,0,0,0.615863141524106,0,0,0,0,0
0,0.507446506465684,0,0.0279534367498645,0,0,0.464600056784451,0,0,0
0.630886075949367,0.219746835443038,0,0.149367088607595,0,0,0,0,0,0
0,0.532296514927915,0,0.0272448632080826,0,0.136224316040413,0,0,0,0.30423430582359
0,0,0,0.164948453608247,0,0,0.835051546391753,0,0,0
0.0273103448275862,0.0163103448275862,0,0.0172413793103448,0,0.939137931034483,0,0,0,0
0,0.0757037460072915,0.116045873813809,0,0.0777756380032805,0.730474742175619,0,0,0,0
0.740740740740741,0,0,0,0,0,0,0,0,0.259259259259259
0.384518802184695,0.59221127084772,0,0.0232699269675853,0,0,0,0,0,0
0,0.439007179235442,0,0,0.560992820764558,0,0,0,0,0
0.231739764827053,0.424856235516265,0,0.257574457128144,0,0.0858295425285383,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0.090198436560433,0.10193012863594,0,0.0825345171141217,0.126136323440982,0,0.599200594248523,0,0
0,0.210053859964093,0,0,0,0.0550568521843208,0.71573907839617,0,0.0191502094554159,0
0,0.931263858093127,0,0,0,0.0476718403547672,0,0,0.0210643015521064,0
0.020071882775781,0,0,0,0,0,0,0.979928117224219,0,0
0,0,0,0,0,0,0,1,0,0
0,0.262610269169871,0,0,0.454648269622257,0,0,0.282741461207872,0,0
0,0.02088772845953,0,0,0,0,0,0.976601727254469,0.0025105442860012,0
0.0653538338923389,0,0,0,0,0,0.93398200112908,0,0.000664164978580679,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0.861124344926155,0.13696998570748,0.00190566936636494,0
0.144491448214048,0,0,0,0,0,0.0110806325317522,0.8444279192542,0,0
0.0551181102362205,0,0.894332652862837,0,0,0,0.0505492369009429,0,0,0
0.144849575949504,0.676203283951153,0,0,0,0,0.178947140099343,0,0,0
1,0,0,0,0,0,0,0,0,0
0.05610170744327,0.144134821494567,0,0,0,0,0.351097642102151,0.378446300539582,0,0.0702195284204302
0,0,0,0,0,0.210727969348659,0.766283524904214,0,0.0229885057471264,0
0.0930665425779432,0,0.383434155421126,0,0,0,0.523499302000931,0,0,0
0.997101449275362,0,0,0,0,0,0,0,0,0.00289855072463768
0.419212270895619,0.026712595866372,0,0,0,0,0.554075133238008,0,0,0
0.741573033707865,0,0,0.155574762316335,0,0.0985306828003457,0,0,0.00432152117545376,0
0.763488543976349,0,0,0,0,0,0.0886917960088692,0.147819660014782,0,0
0.0181451612903226,0,0,0.622983870967742,0,0.358870967741935,0,0,0,0
0.358540797237013,0,0.489279032954382,0,0,0,0.151100877824147,0,0.0010792919844582,0
0.920976417045925,0,0,0.0744724865535788,0,0,0,0,0.00455109640049648,0
0.654231625835189,0,0,0,0,0.167037861915367,0.178730512249443,0,0,0
0.0217098461827637,0,0.163152783434103,0,0,0,0.281946054321606,0.533191316061527,0,0
